,correct,duration,exp_stage,onset,response,rotation,rt,secondary_responses,secondary_rts,stim_file,stim_index,trialnum,subjid,correct_shift,community,community_cross,steps_within_community,steps_since_seen
169,True,1.5,structure_learning,256.459825039,unrot,0,0.779561042786,[],[],images/6.png,8,170,GL,True,1,False,2,73
170,True,1.5,structure_learning,257.965108156,unrot,0,0.162024974823,['right'],[1.105492115020752],images/2.png,9,171,GL,True,1,False,3,2
171,True,1.5,structure_learning,259.470345974,unrot,0,0.368843078613,['right'],[1.288417100906372],images/4.png,6,172,GL,True,1,False,4,73
172,True,1.5,structure_learning,260.975630045,unrot,0,0.654848098755,[],[],images/6.png,8,173,GL,True,1,False,5,3
173,True,1.5,structure_learning,262.481547117,unrot,0,0.220016002655,[],[],images/12.png,7,174,GL,True,1,False,6,76
174,False,1.5,structure_learning,263.986812115,unrot,90,0.21439409256,['right'],[1.4594769477844238],images/6.png,8,175,GL,True,1,False,7,2
175,True,1.5,structure_learning,265.492241144,unrot,0,1.23127913475,[],[],images/12.png,7,176,GL,False,1,False,8,2
176,False,1.5,structure_learning,266.997447968,unrot,90,1.20180797577,[],[],images/6.png,8,177,GL,True,1,False,9,2
177,False,1.5,structure_learning,268.502854109,unrot,90,0.711573123932,[],[],images/4.png,6,178,GL,False,1,False,10,6
178,True,1.5,structure_learning,270.008159161,unrot,0,0.561527013779,[],[],images/12.png,7,179,GL,False,1,False,11,3
179,True,1.5,structure_learning,271.514811039,unrot,0,0.67444896698,[],[],images/3.png,5,180,GL,True,1,False,12,76
180,False,1.5,structure_learning,273.020725012,unrot,90,0.398878097534,[],[],images/4.png,6,181,GL,True,1,False,13,3
181,False,1.5,structure_learning,274.525796175,unrot,90,0.448882102966,[],[],images/6.png,8,182,GL,False,1,False,14,5
182,True,1.5,structure_learning,276.031111956,unrot,0,0.427639961243,[],[],images/4.png,6,183,GL,False,1,False,15,2
183,False,1.5,structure_learning,277.536328077,rot,0,0.819401979446,[],[],images/6.png,8,184,GL,True,1,False,16,2
184,True,1.5,structure_learning,279.042855978,unrot,0,0.693153142929,[],[],images/3.png,5,185,GL,False,1,False,17,5
185,True,1.5,structure_learning,280.548211098,unrot,0,0.528432846069,[],[],images/6.png,8,186,GL,True,1,False,18,2
186,True,1.5,structure_learning,282.05372715,unrot,0,0.340529918671,[],[],images/3.png,5,187,GL,True,1,False,19,2
187,True,1.5,structure_learning,283.558994055,unrot,0,0.342886924744,[],[],images/4.png,6,188,GL,True,1,False,20,5
188,True,1.5,structure_learning,285.064305067,unrot,0,0.257933855057,[],[],images/6.png,8,189,GL,True,1,False,21,3
189,True,1.5,structure_learning,286.56961298,unrot,0,0.124901771545,['right'],[1.3547518253326416],images/3.png,5,190,GL,True,1,False,22,3
190,True,1.5,structure_learning,288.075006008,unrot,0,0.840867042542,[],[],images/6.png,8,191,GL,True,1,False,23,2
